A	SNP_taxa_chr_pos	C	link	info_1	info_2	info_3	paper	gene_chr_pos
SNP	wheat 4A 701653464	gene/transcript	http://plants.ensembl.org/Triticum_aestivum/Transcript/Domains?db=core;g=TraesCS4A02G432200;r=4A:703252090-703571624;t=TraesCS4A02G432200.1	no information	.	.	.	4A:703261247-703266651
SNP	wheat 4A 701653464	gene/transcript	http://plants.ensembl.org/Triticum_aestivum/Transcript/Domains?db=core;g=TraesCS4A02G432200;r=4A:703252090-703571624;t=TraesCS4A02G432200.2	no information	.	.	.	4A:703261247-703266781
SNP	wheat 4A 701653464	gene/transcript	http://plants.ensembl.org/Triticum_aestivum/Transcript/Domains?db=core;g=TraesCS4A02G432300;r=4A:703252090-703571624;t=TraesCS4A02G432300.1	serine/threonine-protein kinase	.	.	.	4A:703268167-703271490
SNP	wheat 4A 701653464	gene/transcript	http://plants.ensembl.org/Triticum_aestivum/Transcript/Domains?db=core;g=TraesCS4A02G432400;r=4A:703252090-703571624;t=TraesCS4A02G432400.2	nucleotide-binding alpha-beta plait, RNA recognition motif	.	.	.	4A:703336643-703341174
SNP	wheat 4A 701653464	gene/transcript	http://plants.ensembl.org/Triticum_aestivum/Transcript/Domains?db=core;g=TraesCS4A02G432400;r=4A:703252090-703571624;t=TraesCS4A02G432400.1	nucleotide-binding alpha-beta plait, RNA recognition motif	.	.	.	4A:703336643-703341174
SNP	wheat 4A 701653464	gene/transcript	http://plants.ensembl.org/Triticum_aestivum/Transcript/Domains?db=core;g=TraesCS4A02G432500;r=4A:703252090-703571624;t=TraesCS4A02G432500.1	SKP1/BTB/POZ, MATH/TRAF	.	.	.	4A:703409697-703410707
SNP	wheat 4A 701653464	gene/transcript	http://plants.ensembl.org/Triticum_aestivum/Transcript/Domains?db=core;g=TraesCS4A02G432600;r=4A:703252090-703571624;t=TraesCS4A02G432600.1	SKP1/BTB/POZ, MATH/TRAF	.	.	.	4A:703431404-703432812
SNP	wheat 4A 701653464	gene/transcript	http://plants.ensembl.org/Triticum_aestivum/Transcript/Domains?db=core;g=TraesCS4A02G432700;r=4A:703252090-703571624;t=TraesCS4A02G432700.1	SKP1/BTB/POZ, MATH/TRAF	.	.	.	4A:703441590-703442573
SNP	wheat 4A 701653464	gene/transcript	http://plants.ensembl.org/Triticum_aestivum/Transcript/Domains?db=core;g=TraesCS4A02G432800;r=4A:703252090-703571624;t=TraesCS4A02G432800.1	chloramphenicol acetyltransferase-like	.	.	.	4A:703535035-703550567
SNP	wheat 4A 701653464	gene/transcript	http://plants.ensembl.org/Triticum_aestivum/Transcript/Domains?db=core;g=TraesCS4A02G432900;r=4A:703571624-703971624;t=TraesCS4A02G432900.1	UDP-glucuronsyl/UDP-glucosyltransferase	.	.	.	4A:703605344-703607243
SNP	wheat 4A 701653464	gene/transcript	http://plants.ensembl.org/Triticum_aestivum/Transcript/Domains?db=core;g=TraesCS4A02G433000;r=4A:703571624-703971624;t=TraesCS4A02G433000.1	UDP-glucuronsyl/UDP-glucosyltransferase	.	.	.	4A:703650734-703653295
