A	SNP_taxa_chr_pos	C	link	info_1	info_2	info_3	paper	gene_chr_pos
SNP	barley 1H 428612145	gene/transcript	http://plants.ensembl.org/Hordeum_vulgare/Transcript/Domains?db=core;g=HORVU.MOREX.r3.1HG0065530;r=1H:429000000-429400000;t=HORVU.MOREX.r3.1HG0065530.1	cold-shock protein, DNA binding, zinc finger, CCHC-type	.	.	.	1H:429151868-429152829
SNP	barley 1H 428612145	gene/transcript	http://plants.ensembl.org/Hordeum_vulgare/Transcript/Domains?db=core;g=HORVU.MOREX.r3.1HG0065520;r=1H:429000000-429400000;t=HORVU.MOREX.r3.1HG0065520.1	K homology domain type 1, STAR protein	binds RNA, regulates splicing	.	.	1H:429140728-429145562
SNP	barley 1H 428612145	gene/transcript	http://plants.ensembl.org/Hordeum_vulgare/Transcript/Domains?db=core;g=HORVU.MOREX.r3.1HG0065510;r=1H:429000000-429400000;t=HORVU.MOREX.r3.1HG0065510.1	no information	.	.	.	1H:429116932-429117705 
SNP	barley 1H 428612145	gene/transcript	http://plants.ensembl.org/Hordeum_vulgare/Transcript/Domains?db=core;g=HORVU.MOREX.r3.1HG0065500;r=1H:429000000-429400000;t=HORVU.MOREX.r3.1HG0065500.1	transcription factor, K-box, MADS-box	DNA binding, RNA polymerase II activation	may be involved in cell differentiation and proliferation	.	1H:429027618-429031539
SNP	barley 1H 428612145	gene/transcript	http://plants.ensembl.org/Hordeum_vulgare/Gene/Summary?db=core;g=HORVU.MOREX.r3.1HG0065490;r=1H:428600000-429000000;t=HORVU.MOREX.r3.1HG0065490.1	no information	.	.	.	1H:428966313-428969922
SNP	barley 1H 428612145	gene/transcript	http://plants.ensembl.org/Hordeum_vulgare/Transcript/Summary?db=core;g=HORVU.MOREX.r3.1HG0065490;r=1H:428600000-429000000;t=HORVU.MOREX.r3.1HG0065490.2	no information	.	.	.	1H:428966313-428969922
SNP	barley 1H 428612145	gene/transcript	http://plants.ensembl.org/Hordeum_vulgare/Transcript/Domains?db=core;g=HORVU.MOREX.r3.1HG0065440;r=1H:428600000-429000000;t=HORVU.MOREX.r3.1HG0065440.1	GDSL lipase/esterase, SGNH hydrolase	.	.	.	1H:428742445-428745794
SNP	barley 1H 428612145	gene/transcript	http://plants.ensembl.org/Hordeum_vulgare/Transcript/Domains?db=core;g=HORVU.MOREX.r3.1HG0065410;r=1H:428600000-429000000;t=HORVU.MOREX.r3.1HG0065410.1	protein of unknown function UPF0301	.	.	.	1H:428674428-428677176
SNP	barley 1H 428612145	gene/transcript	http://plants.ensembl.org/Hordeum_vulgare/Transcript/Domains?db=core;g=HORVU.MOREX.r3.1HG0065400;r=1H:428600000-429000000;t=HORVU.MOREX.r3.1HG0065400.1	AP2/ERF, DNA binding	transcription factor?	.	.	1H:428639982-428640533
SNP	barley 1H 428612145	gene/transcript	http://plants.ensembl.org/Hordeum_vulgare/Transcript/Domains?db=core;g=HORVU.MOREX.r3.1HG0065380;r=1H:428200000-428600000;t=HORVU.MOREX.r3.1HG0065380.1	Myb/SANT-like	.	.	.	1H:428514622-428515434
