A	SNP_taxa_chr_pos	C	link	info_1	info_2	info_3	paper	gene_chr_pos
SNP	barley 5H 82569881	gene/transcript	http://plants.ensembl.org/Hordeum_vulgare/Transcript/Domains?db=core;g=HORVU.MOREX.r3.5HG0440700;r=5H:82369881-82769881;t=HORVU.MOREX.r3.5HG0440700.1	diacylglycerol kinase, NAD kinase, protein kinase C-like, phorbol ester/diacylglycerol binding	involved in defense response?	.	.	5H:82464981-82470421
SNP	barley 5H 82569881	gene/transcript	http://plants.ensembl.org/Hordeum_vulgare/Transcript/Domains?db=core;g=HORVU.MOREX.r3.5HG0440680;r=5H:82369881-82769881;t=HORVU.MOREX.r3.5HG0440680.1	papain-like cysteine peptidase, ulp1 protease	.	.	.	5H:82453690-82460072
SNP	barley 5H 82569881	gene/transcript	http://plants.ensembl.org/Hordeum_vulgare/Transcript/Domains?db=core;g=HORVU.MOREX.r3.5HG0440710;r=5H:82369881-82769881;t=HORVU.MOREX.r3.5HG0440710.1	no information	.	.	.	5H:82647115-82647743
SNP	barley 5H 82569881	gene/transcript	http://plants.ensembl.org/Hordeum_vulgare/Transcript/Domains?db=core;g=HORVU.MOREX.r3.5HG0440720;r=5H:82369881-82769881;t=HORVU.MOREX.r3.5HG0440720.1	PPM-type phosphatase	.	.	.	5H:82653594-82656342 
SNP	barley 5H 82569881	gene/transcript	http://plants.ensembl.org/Hordeum_vulgare/Transcript/Domains?db=core;g=HORVU.MOREX.r3.5HG0440650;r=5H:81969881-82369881;t=HORVU.MOREX.r3.5HG0440650.1	RNA/DNA polymerase, GAG-preintegrase, integrase, reverse transcriptase, RNA-dependent DNA polymerase,	ribonuclease H, zinc finger	this is obviously a retrotransposon or a retrovirus	.	5H:82144917-82149191
SNP	barley 5H 82569881	gene/transcript	http://plants.ensembl.org/Hordeum_vulgare/Transcript/Domains?db=core;g=HORVU.MOREX.r3.5HG0440660;r=5H:81969881-82369881;t=HORVU.MOREX.r3.5HG0440660.1	TPX 2	used for mitotic spindles, not interesting here	.	.	5H:82152623-82154833
SNP	barley 5H 82569881	gene/transcript	http://plants.ensembl.org/Hordeum_vulgare/Transcript/Domains?db=core;g=HORVU.MOREX.r3.5HG0440640;r=5H:81969881-82369881;t=HORVU.MOREX.r3.5HG0440640.1	cathepsin propeptide inhibitor (protease inhibitor), papain-like cysteine peptidase	.	.	.	5H:82009603-82010344
SNP	barley 5H 82569881	gene/transcript	http://plants.ensembl.org/Hordeum_vulgare/Transcript/Domains?db=core;g=HORVU.MOREX.r3.5HG0440740;r=5H:82769881-83169881;t=HORVU.MOREX.r3.5HG0440740.1	F-box-like	.	.	.	5H:82958615-82959802
SNP	barley 5H 82569881	gene/transcript	http://plants.ensembl.org/Hordeum_vulgare/Transcript/Domains?db=core;g=HORVU.MOREX.r3.5HG0440760;r=5H:82769881-83169881;t=HORVU.MOREX.r3.5HG0440760.1	no information	.	.	.	5H:82968799-82971786
SNP	barley 5H 82569881	gene/transcript	http://plants.ensembl.org/Hordeum_vulgare/Transcript/Domains?db=core;g=HORVU.MOREX.r3.5HG0440780;r=5H:82769881-83169881;t=HORVU.MOREX.r3.5HG0440780.1	papain-like cysteine peptidase, ulp1 protease	.	.	.	5H:82975680-82976290
