A	SNP_taxa_chr_pos	C	link	info_1	info_2	info_3	paper	gene_chr_pos
SNP	barley 6H 551377039 and 551414770	gene/transcript	http://plants.ensembl.org/Hordeum_vulgare/Transcript/Domains?db=core;g=HORVU.MOREX.r3.6HG0628960;r=6H:551147863-551642640;t=HORVU.MOREX.r3.6HG0628960.1	protein kinase	.	.	.	6H:551243029-551250663
SNP	barley 6H 551377039 and 551414770	gene/transcript	http://plants.ensembl.org/Hordeum_vulgare/Transcript/Domains?db=core;g=HORVU.MOREX.r3.6HG0628940;r=6H:551147863-551642640;t=HORVU.MOREX.r3.6HG0628940.1	dipthamide synthesis	.	paper: defense against pathogen attack? but how would this cause neighbour effect?	https://www.ebi.ac.uk/interpro/entry/pfam/PF01866/	6H:551219741-551222113
SNP	barley 6H 551377039 and 551414770	gene/transcript	http://plants.ensembl.org/Hordeum_vulgare/Transcript/Domains?db=core;g=HORVU.MOREX.r3.6HG0629000;r=6H:551147863-551642640;t=HORVU.MOREX.r3.6HG0629000.1	C2, phosphoribosyltransferase, quirky-like	.	.	.	6H:551277618-551281341
SNP	barley 6H 551377039 and 551414770	gene/transcript	http://plants.ensembl.org/Hordeum_vulgare/Transcript/Domains?db=core;g=HORVU.MOREX.r3.6HG0628930;r=6H:551147863-551642640;t=HORVU.MOREX.r3.6HG0628930.1	alcohol dehydrogenase	.	.	.	6H:551214772-551218869
SNP	barley 6H 551377039 and 551414770	gene/transcript	http://plants.ensembl.org/Hordeum_vulgare/Transcript/Domains?db=core;g=HORVU.MOREX.r3.6HG0628920;r=6H:551147863-551642640;t=HORVU.MOREX.r3.6HG0628920.1	no information	.	.	.	6H:551210668-551213621
SNP	barley 6H 551377039 and 551414770	gene/transcript	http://plants.ensembl.org/Hordeum_vulgare/Transcript/Domains?db=core;g=HORVU.MOREX.r3.6HG0628910;r=6H:551147863-551642640;t=HORVU.MOREX.r3.6HG0628910.1	no information	.	.	.	6H:551208425-551209271
SNP	barley 6H 551377039 and 551414770	gene/transcript	http://plants.ensembl.org/Hordeum_vulgare/Transcript/Domains?db=core;g=HORVU.MOREX.r3.6HG0628900;r=6H:551147863-551642640;t=HORVU.MOREX.r3.6HG0628900.1	RNA recognition motif	.	.	.	6H:551179963-551181748
SNP	barley 6H 551377039 and 551414770	gene/transcript	http://plants.ensembl.org/Hordeum_vulgare/Transcript/Domains?db=core;g=HORVU.MOREX.r3.6HG0628890;r=6H:551147863-551642640;t=HORVU.MOREX.r3.6HG0628890.1	nicotianamine synthase	.	.	.	6H:551174678-551175673
SNP	barley 6H 551377039 and 551414770	gene/transcript	http://plants.ensembl.org/Hordeum_vulgare/Transcript/Domains?db=core;g=HORVU.MOREX.r3.6HG0628870;r=6H:550877039-551277039;t=HORVU.MOREX.r3.6HG0628870.1	C2	involved in vehicle regulation, involved in defence response?	.	.	6H:551021311-551022472
SNP	barley 6H 551377039 and 551414770	gene/transcript	http://plants.ensembl.org/Hordeum_vulgare/Transcript/Domains?db=core;g=HORVU.MOREX.r3.6HG0628850;r=6H:550877039-551277039;t=HORVU.MOREX.r3.6HG0628850.1	ribosomal protein L37e	.	.	.	6H:550931878-550933383
SNP	barley 6H 551377039 and 551414770	gene/transcript	http://plants.ensembl.org/Hordeum_vulgare/Transcript/Domains?db=core;g=HORVU.MOREX.r3.6HG0628840;r=6H:550877039-551277039;t=HORVU.MOREX.r3.6HG0628840.1	glutathione S-transferase	.	.	.	6H:550927974-550929209
SNP	barley 6H 551377039 and 551414770	gene/transcript	http://plants.ensembl.org/Hordeum_vulgare/Transcript/Domains?db=core;g=HORVU.MOREX.r3.6HG0628880;r=6H:550877039-551277039;t=HORVU.MOREX.r3.6HG0628880.1	nicotianamine synthase	.	.	.	6H:551028360-551029355
SNP	barley 6H 551377039 and 551414770	gene/transcript	http://plants.ensembl.org/Hordeum_vulgare/Transcript/Domains?db=core;g=HORVU.MOREX.r3.6HG0628860;r=6H:550877039-551277039;t=HORVU.MOREX.r3.6HG0628860.1	no information	.	.	.	6H:551013899-551014273
SNP	barley 6H 551377039 and 551414770	gene/transcript	http://plants.ensembl.org/Hordeum_vulgare/Transcript/Domains?db=core;g=HORVU.MOREX.r3.6HG0628830;r=6H:550877039-551277039;t=HORVU.MOREX.r3.6HG0628830.1	nicotinate/nicotinamide nucleotide adenylyltransferase	.	.	.	6H:550927908-550931672
SNP	barley 6H 551377039 and 551414770	gene/transcript	http://plants.ensembl.org/Hordeum_vulgare/Transcript/Domains?db=core;g=HORVU.MOREX.r3.6HG0628820;r=6H:550877039-551277039;t=HORVU.MOREX.r3.6HG0628820.1	no information	.	.	.	6H:550925305-550927273
SNP	barley 6H 551377039 and 551414770	gene/transcript	http://plants.ensembl.org/Hordeum_vulgare/Transcript/Domains?db=core;g=HORVU.MOREX.r3.6HG0628800;r=6H:550877039-551277039;t=HORVU.MOREX.r3.6HG0628800.1	fanconi anemia group F protein	involved in DNA damage repair?	.	.	6H:550909330-550912055
SNP	barley 6H 551377039 and 551414770	gene/transcript	http://plants.ensembl.org/Hordeum_vulgare/Transcript/Domains?db=core;g=HORVU.MOREX.r3.6HG0628790;r=6H:550877039-551277039;t=HORVU.MOREX.r3.6HG0628790.1	homeobox-like, MYB_CC type transcription factor, LHEQLE, SANT/Myb	.	.	.	6H:550904055-550907677
SNP	barley 6H 551377039 and 551414770	gene/transcript	http://plants.ensembl.org/Hordeum_vulgare/Transcript/Domains?db=core;g=HORVU.MOREX.r3.6HG0628760;r=6H:550577039-550877039;t=HORVU.MOREX.r3.6HG0628760.1	leucine-rich repeat, protein kinase	.	.	.	6H:550863264-550866536
SNP	barley 6H 551377039 and 551414770	gene/transcript	http://plants.ensembl.org/Hordeum_vulgare/Transcript/Domains?db=core;g=HORVU.MOREX.r3.6HG0628710;r=6H:550577039-550877039;t=HORVU.MOREX.r3.6HG0628710.1	leucine-rich repeat	.	.	.	6H:550834297-550834872
SNP	barley 6H 551377039 and 551414770	gene/transcript	http://plants.ensembl.org/Hordeum_vulgare/Transcript/Domains?db=core;g=HORVU.MOREX.r3.6HG0628690;r=6H:550577039-550877039;t=HORVU.MOREX.r3.6HG0628690.1	no information	.	.	.	6H:550805280-550805935
SNP	barley 6H 551377039 and 551414770	gene/transcript	http://plants.ensembl.org/Hordeum_vulgare/Transcript/Domains?db=core;g=HORVU.MOREX.r3.6HG0628740;r=6H:550577039-550877039;t=HORVU.MOREX.r3.6HG0628740.1	no information	.	.	.	6H:550852014-550858754
SNP	barley 6H 551377039 and 551414770	gene/transcript	http://plants.ensembl.org/Hordeum_vulgare/Transcript/Domains?db=core;g=HORVU.MOREX.r3.6HG0628700;r=6H:550577039-550877039;t=HORVU.MOREX.r3.6HG0628700.1	no information	.	.	.	6H:550814480-550814966
SNP	barley 6H 551377039 and 551414770	gene/transcript	http://plants.ensembl.org/Hordeum_vulgare/Transcript/Domains?db=core;g=HORVU.MOREX.r3.6HG0628680;r=6H:550577039-550877039;t=HORVU.MOREX.r3.6HG0628680.1	fatty acid hydroxylase, Wax2	.	.	.	6H:550749409-550752926
SNP	barley 6H 551377039 and 551414770	gene/transcript	http://plants.ensembl.org/Hordeum_vulgare/Transcript/Domains?db=core;g=HORVU.MOREX.r3.6HG0628670;r=6H:550577039-550877039;t=HORVU.MOREX.r3.6HG0628670.1	reverse transcriptase?	.	.	.	6H:550747335-550747982
SNP	barley 6H 551377039 and 551414770	gene/transcript	http://plants.ensembl.org/Hordeum_vulgare/Transcript/Domains?db=core;g=HORVU.MOREX.r3.6HG0628660;r=6H:550577039-550877039;t=HORVU.MOREX.r3.6HG0628660.1	PPPDE peptidase	.	.	.	6H:550737948-550739356
SNP	barley 6H 551377039 and 551414770	gene/transcript	http://plants.ensembl.org/Hordeum_vulgare/Transcript/Domains?db=core;g=HORVU.MOREX.r3.6HG0628630;r=6H:550577039-550877039;t=HORVU.MOREX.r3.6HG0628630.1	F-box, phloem protein 2-like	phloem protein 2 has lectin activity and does long distance signalling in the phloem	.	.	6H:550598887-550601050
SNP	barley 6H 551377039 and 551414770	gene/transcript	http://plants.ensembl.org/Hordeum_vulgare/Transcript/Domains?db=core;g=HORVU.MOREX.r3.6HG0628610;r=6H:550577039-550877039;t=HORVU.MOREX.r3.6HG0628610.1	F-box, phloem protein 2-like	phloem protein 2 has lectin activity and does long distance signalling in the phloem	.	.	6H:550592284-550595062
SNP	barley 6H 551377039 and 551414770	gene/transcript	http://plants.ensembl.org/Hordeum_vulgare/Transcript/Domains?db=core;g=HORVU.MOREX.r3.6HG0629070;r=6H:551814770-552214770;t=HORVU.MOREX.r3.6HG0629070.1	GDSL lipase/esterase	.	.	.	6H:551986465-551988186
SNP	barley 6H 551377039 and 551414770	gene/transcript	http://plants.ensembl.org/Hordeum_vulgare/Transcript/Domains?db=core;g=HORVU.MOREX.r3.6HG0629090;r=6H:551814770-552214770;t=HORVU.MOREX.r3.6HG0629090.1	protein DMP	may be involved in apoptosis?	.	.	6H:552023750-552024499
SNP	barley 6H 551377039 and 551414770	gene/transcript	http://plants.ensembl.org/Hordeum_vulgare/Transcript/Domains?db=core;g=HORVU.MOREX.r3.6HG0629140;r=6H:551814770-552214770;t=HORVU.MOREX.r3.6HG0629140.1	armadillo-like, CLASP	.	.	.	6H:552138221-552148116
SNP	barley 6H 551377039 and 551414770	gene/transcript	http://plants.ensembl.org/Hordeum_vulgare/Transcript/Domains?db=core;g=HORVU.MOREX.r3.6HG0629060;r=6H:551814770-552214770;t=HORVU.MOREX.r3.6HG0629060.1	haloacid dehalogenase-like	.	.	.	6H:551976229-551979426
SNP	barley 6H 551377039 and 551414770	gene/transcript	http://plants.ensembl.org/Hordeum_vulgare/Transcript/Domains?db=core;g=HORVU.MOREX.r3.6HG0629110;r=6H:551814770-552214770;t=HORVU.MOREX.r3.6HG0629110.1	protein DMP	may be involved in apoptosis?	.	.	6H:552047482-552048302
SNP	barley 6H 551377039 and 551414770	gene/transcript	http://plants.ensembl.org/Hordeum_vulgare/Transcript/Domains?db=core;g=HORVU.MOREX.r3.6HG0629120;r=6H:551814770-552214770;t=HORVU.MOREX.r3.6HG0629120.1	protein DMP	may be involved in apoptosis?	.	.	6H:552068749-552069429
SNP	barley 6H 551377039 and 551414770	gene/transcript	http://plants.ensembl.org/Hordeum_vulgare/Transcript/Domains?db=core;g=HORVU.MOREX.r3.6HG0629150;r=6H:551814770-552214770;t=HORVU.MOREX.r3.6HG0629150.1	no information	.	.	.	6H:552178947-552179590
SNP	barley 6H 551377039 and 551414770	gene/transcript	http://plants.ensembl.org/Hordeum_vulgare/Transcript/Domains?db=core;g=HORVU.MOREX.r3.6HG0629160;r=6H:551814770-552214770;t=HORVU.MOREX.r3.6HG0629160.1	apoptotic proteofactor activating factors, disease resistance protein, leucine rich repeat, P-loop containing nucleoside triphosphate hydrolase, NB-ARC, Rx, virus X resistance	disease resistance in plants, probably by apoptosis, but this is not a neighbour effect, but could indirectly affect?	.	.	6H:552181243-552184801
SNP	barley 6H 551377039 and 551414770	gene/transcript	http://plants.ensembl.org/Hordeum_vulgare/Transcript/Domains?db=core;g=HORVU.MOREX.r3.6HG0629180;r=6H:551814770-552214770;t=HORVU.MOREX.r3.6HG0629180.1	apoptotic proteofactor activating factors, disease resistance protein, leucine rich repeat, P-loop containing nucleoside triphosphate hydrolase, NB-ARC, Rx, virus X resistance	disease resistance in plants, probably by apoptosis, but this is not a neighbour effect, but could indirectly affect?	.	.	6H:552208184-552212516
SNP	barley 6H 551377039 and 551414770	gene/transcript	http://plants.ensembl.org/Hordeum_vulgare/Transcript/Domains?db=core;g=HORVU.MOREX.r3.6HG0629170;r=6H:551814770-552214770;t=HORVU.MOREX.r3.6HG0629170.1	apoptotic proteofactor activating factors, disease resistance protein, leucine rich repeat, P-loop containing nucleoside triphosphate hydrolase, NB-ARC, Rx, virus X resistance	disease resistance in plants, probably by apoptosis, but this is not a neighbour effect, but could indirectly affect?	.	.	6H:552191607-552195727
