A	SNP_taxa_chr_pos	C	link	info_1	info_2	info_3	paper	gene_chr_pos
SNP	wheat 4A 701653464	gene/transcript	http://plants.ensembl.org/Triticum_aestivum/Transcript/Domains?db=core;g=TraesCS4A02G434800;r=4A:705507689-705646279;t=TraesCS4A02G434800.1	serine/threonine-protein kinase	.	.	.	4A:705502495-705508717
SNP	wheat 4A 701653464	gene/transcript	http://plants.ensembl.org/Triticum_aestivum/Transcript/Domains?db=core;g=TraesCS4A02G434900;r=4A:705507689-705646279;t=TraesCS4A02G434900.1	glutamine-leucine-glutamine, growth-regulating factor, WRC	transcription factor?	.	.	4A:705509912-705513259
SNP	wheat 4A 701653464	gene/transcript	http://plants.ensembl.org/Triticum_aestivum/Transcript/Domains?db=core;g=TraesCS4A02G435000;r=4A:705507689-705646279;t=TraesCS4A02G435000.1	SNARE, syntaxin	.	.	.	4A:705517183-705521196
SNP	wheat 4A 701653464	gene/transcript	http://plants.ensembl.org/Triticum_aestivum/Transcript/Domains?db=core;g=TraesCS4A02G435100;r=4A:705507689-705646279;t=TraesCS4A02G435100.1	no information	.	.	.	4A:705528273-705528820
SNP	wheat 4A 701653464	gene/transcript	http://plants.ensembl.org/Triticum_aestivum/Transcript/Domains?db=core;g=TraesCS4A02G435200;r=4A:705507689-705646279;t=TraesCS4A02G435200.1	NPSN/SNAP25-like, target SNARE coiled-coil homology	.	.	.	4A:705536939-705539617
SNP	wheat 4A 701653464	gene/transcript	http://plants.ensembl.org/Triticum_aestivum/Transcript/Domains?db=core;g=TraesCS4A02G435300;r=4A:705507689-705646279;t=TraesCS4A02G435300.1	glutathione S-transferase	.	.	.	4A:705544563-705546398
SNP	wheat 4A 701653464	gene/transcript	http://plants.ensembl.org/Triticum_aestivum/Transcript/Domains?db=core;g=TraesCS4A02G435400;r=4A:705507689-705646279;t=TraesCS4A02G435400.1	no information	.	.	.	4A:705571618-705572478
SNP	wheat 4A 701653464	gene/transcript	http://plants.ensembl.org/Triticum_aestivum/Transcript/Domains?db=core;g=TraesCS4A02G435500;r=4A:705507689-705646279;t=TraesCS4A02G435500.1	protein NDR1-like	involved in multiple disease resistance pathways	.	.	4A:705627577-705628254
SNP	wheat 4A 701653464	gene/transcript	http://plants.ensembl.org/Triticum_aestivum/Transcript/Domains?db=core;g=TraesCS4A02G435600;r=4A:705507689-705646279;t=TraesCS4A02G435600.1	urease accessory protein UreH-like	.	.	.	4A:705632664-705634302
SNP	wheat 4A 701653464	gene/transcript	http://plants.ensembl.org/Triticum_aestivum/Transcript/Domains?db=core;g=TraesCS4A02G435700;r=4A:705507689-705646279;t=TraesCS4A02G435700.1	F-box	.	.	.	4A:705638993-705641476
